SampleID	Name	RND	Dataset	SampleNumber	Station	Month	Rep	Year	Region
Ant1	FT-10	2	Antarctica	10	600	November	10	2021	Antarctica
Ant2	FT-21	2	Antarctica	21	400-line	November	21	2021	Antarctica
Ant3	FT-11	2	Antarctica	11	600-500tran	November	11	2021	Antarctica
Ant4	FT-7	2	Antarctica	7	600-line	November	7	2021	Antarctica
Ant5	FT-8	2	Antarctica	8	600-line	November	8	2021	Antarctica
Ant6	FT-9	2	Antarctica	9	600-line	November	9	2021	Antarctica
Ant7	FT-12	2	Antarctica	12	600-500tran	November	12	2021	Antarctica
Ant8	FT-13	2	Antarctica	13	600-500tran	November	13	2021	Antarctica
Ant9	FT-19	2	Antarctica	19		November	19	2021	Antarctica
Pt102	Pt102	2	ProvinceTown	102	F29	April	3	2022	ProvinceTown
Pt103	Pt103	2	ProvinceTown	103	F29	April	1	2022	ProvinceTown
Pt104	Pt104	2	ProvinceTown	104	F29	April	2	2022	ProvinceTown
Pt106	Pt106	2	ProvinceTown	106	F29	March	3	2022	ProvinceTown
Pt113	Pt113	2	ProvinceTown	113	F29	July	1	2022	ProvinceTown
Pt117	Pt117	2	ProvinceTown	117	F29	July	2	2022	ProvinceTown
Pt118	Pt118	2	ProvinceTown	118	F29	July	3	2022	ProvinceTown
Pt124	Pt124	2	ProvinceTown	124	F29	March	2	2022	ProvinceTown
Pt125	Pt125	2	ProvinceTown	125	F29	March	1	2022	ProvinceTown
Pt129	Pt129	2	ProvinceTown	129	F29	June	2	2022	ProvinceTown
Pt133	Pt133	2	ProvinceTown	133	F29	June	3	2022	ProvinceTown
Pt137	Pt137	2	ProvinceTown	137	F29	June	1	2022	ProvinceTown
Pt139	Pt139	2	ProvinceTown	139	F29	August	3	2022	ProvinceTown
Pt140	Pt140	2	ProvinceTown	140	F29	August	1	2022	ProvinceTown
Pt143	Pt143	2	ProvinceTown	143	F29	September	3	2022	ProvinceTown
Pt149	Pt149	2	ProvinceTown	149	F29	September	1	2022	ProvinceTown
Pt150	Pt150	2	ProvinceTown	150	F29	September	2	2022	ProvinceTown
Pt156	Pt156	2	ProvinceTown	156	F29	October	2	2022	ProvinceTown
Pt158	Pt158	2	ProvinceTown	158	F29	October	1	2022	ProvinceTown
Pt159	Pt159	2	ProvinceTown	159	F29	October	3	2022	ProvinceTown
Pt95	Pt95	2	ProvinceTown	95	F29	May	2	2022	ProvinceTown
Pt96	Pt96	2	ProvinceTown	96	F29	May	3	2022	ProvinceTown
Pt98	Pt98	2	ProvinceTown	98	F29	May	1	2022	ProvinceTown
col10	col10	2	PantCol	10	400	February	10	2023	Antarctica
col11	col11	2	PantCol	11	400	February	11	2023	Antarctica
col12	col12	2	PantCol	12	400	February	12	2023	Antarctica
col13	col13	2	PantCol	13	400	February	13	2023	Antarctica
col14	col14	2	PantCol	14	400	February	14	2023	Antarctica
col1	col1	2	PantCol	1	400	February	1	2023	Antarctica
col2	col2	2	PantCol	2	400	February	2	2023	Antarctica
col3	col3	2	PantCol	3	400	February	3	2023	Antarctica
col4	col4	2	PantCol	4	400	February	4	2023	Antarctica
col5	col5	2	PantCol	5	400	February	5	2023	Antarctica
col6	col6	2	PantCol	6	400	February	6	2023	Antarctica
col7	col7	2	PantCol	7	400	February	7	2023	Antarctica
col8	col8	2	PantCol	8	400	February	8	2023	Antarctica
col9	col9	2	PantCol	9	400	February	9	2023	Antarctica
