Feature ID,Taxon,Confidence
bd5fd6efddf9426e8a0411bf6b3970e9,Eukaryota; Archaeplastida; Chlorophyta; Prasinophyceae; Prasinophyceae_X; Pseudoscourfieldiales; Pseudoscourfieldiales_X; Pycnococcaceae; Pseudoscourfieldia; Pseudoscourfieldia sp.,0.999902613
31c187b010e1d88be86d11374fe1403c,Eukaryota; Hacrobia; Cryptophyta; Cryptophyceae; Cryptophyceae_X; Pyrenomonadales; Pyrenomonadales_X; Geminigeraceae,0.709395409
bbcaf775eabe6c3885f80cb945725e53,Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Prymnesiophycidae_X,0.836917935
b494f54dcad85791a5c45aaf8334f6a2,Eukaryota; Archaeplastida; Streptophyta; Embryophyceae; rosids; Malpighiales; Malpighiales_X,0.706334998
eeda58733a701904f746f73b041e9a46,Eukaryota; Alveolata; Dinophyta; Dinophyceae; Dinophyceae_X; Gymnodiniales; Gymnodiniales_X; Gymnodiniaceae; Lepidodinium_unknown; Lepidodinium sp.,0.960291992
f1f0fdc04fef0525a36dfc9aab47a861,Eukaryota; Archaeplastida; Chlorophyta; Prasinophyceae; Prasinophyceae_X; Pseudoscourfieldiales; Pseudoscourfieldiales_X; Pycnococcaceae; Pseudoscourfieldia; Pseudoscourfieldia sp.,0.999991621
f1ea98d49baf3dd5dd4b2456017e5d48,Eukaryota; Archaeplastida; Chlorophyta; Mamiellophyceae; Mamiellophyceae_X; Mamiellales; Mamiellales_X; Mamiellales_XX; Mamiellales_XXX; Mamiellales_XXX sp.,0.998647862
8300d313763218c6c85d593ba04b0d7a,Eukaryota; Archaeplastida; Chlorophyta; Prasinophyceae; Prasinophyceae_X; Pseudoscourfieldiales; Pseudoscourfieldiales_X; Pycnococcaceae; Pseudoscourfieldia; Pseudoscourfieldia sp.,0.999858658
2275812ed14893d193d3cede5f5be8e4,Eukaryota; Archaeplastida; Streptophyta; Embryophyceae,0.848682826
02c7154509c84d052fb66b2dfbca4e23,Eukaryota; Archaeplastida; Chlorophyta; Prasinophyceae; Prasinophyceae_X; Pseudoscourfieldiales; Pseudoscourfieldiales_X; Pycnococcaceae; Pseudoscourfieldia; Pseudoscourfieldia sp.,0.999999278
75eda139918e139dcfe1789c1d1010fc,Eukaryota; Archaeplastida,0.994561267
b4211a36c9c0a9570b4e136e5f6d41f2,Eukaryota; Archaeplastida; Chlorophyta; Prasinophyceae; Prasinophyceae_X; Pseudoscourfieldiales; Pseudoscourfieldiales_X; Pycnococcaceae; Pseudoscourfieldia; Pseudoscourfieldia sp.,0.999984516
8199d61fa1929c3d816759da788dde68,Eukaryota,1
84d53cdd3c5922bacf8109999d2f553e,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyceae,0.916131647
